Census Tract,Total Population,ZIP,Nearby City,Longitude,Latitude,Drinking Water,geometry
6037271901,3267,90066,Los Angeles,-118.4246723,34.0128357,438.52,POINT (-118.4246723 34.0128357)
6037195202,3315,90027,Los Angeles,-118.2785412,34.1029474,766.84,POINT (-118.2785412 34.1029474)
6037267402,4941,90025,Los Angeles,-118.4659262,34.042074,510.77,POINT (-118.4659262 34.042074)
6037269907,2825,90034,Los Angeles,-118.4067099,34.0280469,438.52,POINT (-118.4067099 34.0280469)
6037215101,2851,90036,Los Angeles,-118.3535529,34.0636762,766.84,POINT (-118.3535529 34.0636762)
6037183401,2322,90042,Los Angeles,-118.2092262,34.1216662,486.4,POINT (-118.2092262 34.1216662)
6037271300,4075,90064,Los Angeles,-118.4413454,34.0259653,572.11,POINT (-118.4413454 34.0259653)
6037265305,3788,90024,Los Angeles,-118.4490226,34.0626943,438.52,POINT (-118.4490226 34.0626943)
6037276100,5758,90045,Los Angeles,-118.3730208,33.9759315,796.21,POINT (-118.3730208 33.9759315)
6037217002,4709,90035,Los Angeles,-118.3804933,34.0495333,744.57,POINT (-118.3804933 34.0495333)
6037183222,3459,90041,Los Angeles,-118.1973377,34.1291804,486.4,POINT (-118.1973377 34.1291804)
6037214700,2541,90048,Los Angeles,-118.3661529,34.0664969,766.84,POINT (-118.3661529 34.0664969)
6037183221,3584,90042,Los Angeles,-118.1909386,34.1254321,486.4,POINT (-118.1909386 34.1254321)
6037212502,2589,90005,Los Angeles,-118.3069674,34.0586417,766.84,POINT (-118.3069674 34.0586417)
6037216100,2261,90019,Los Angeles,-118.3379721,34.0569256,766.84,POINT (-118.3379721 34.0569256)
6037195201,3106,90027,Los Angeles,-118.2785167,34.1087422,766.84,POINT (-118.2785167 34.1087422)
6037216402,2757,90035,Los Angeles,-118.3804364,34.0611535,795.11,POINT (-118.3804364 34.0611535)
6037265304,2865,90024,Los Angeles,-118.451161,34.0677546,438.52,POINT (-118.451161 34.0677546)
6037265303,4889,90024,Los Angeles,-118.4534107,34.067274,438.52,POINT (-118.4534107 34.067274)
6037278001,2493,90045,Los Angeles,-118.4012,33.9569112,438.52,POINT (-118.4012 33.9569112)
6037183104,2226,90042,Los Angeles,-118.1723137,34.1236781,847.92,POINT (-118.1723137 34.1236781)
6037185204,1979,90065,Los Angeles,-118.22326,34.1029039,486.4,POINT (-118.22326 34.1029039)
6037265510,4786,90024,Los Angeles,-118.4426278,34.0564831,438.52,POINT (-118.4426278 34.0564831)
6037214400,2991,90036,Los Angeles,-118.3573276,34.0781666,766.84,POINT (-118.3573276 34.0781666)
6037272202,3549,90066,Los Angeles,-118.4391488,33.9975533,438.52,POINT (-118.4391488 33.9975533)
6037191902,2671,90038,Los Angeles,-118.3388222,34.0837728,766.84,POINT (-118.3388222 34.0837728)
6037703002,7210,90056,Los Angeles,-118.3729521,33.9875024,734.3,POINT (-118.3729521 33.9875024)
6037195400,4474,90026,Los Angeles,-118.2740532,34.0916921,766.84,POINT (-118.2740532 34.0916921)
6037214800,2966,90048,Los Angeles,-118.3730515,34.0713896,766.84,POINT (-118.3730515 34.0713896)
6037272302,4423,90066,Los Angeles,-118.4274418,34.0021096,438.52,POINT (-118.4274418 34.0021096)
6037185100,6677,90065,Los Angeles,-118.2103941,34.1048825,486.4,POINT (-118.2103941 34.1048825)
6037189701,3200,90068,Los Angeles,-118.3345237,34.1319418,977.04,POINT (-118.3345237 34.1319418)
6037194500,1969,90048,Los Angeles,-118.3695958,34.0781753,766.84,POINT (-118.3695958 34.0781753)
6037189702,2090,90068,Los Angeles,-118.3410171,34.1124841,730.06,POINT (-118.3410171 34.1124841)
6037214901,3418,90048,Los Angeles,-118.3872385,34.0742811,797.23,POINT (-118.3872385 34.0742811)
6037269905,2577,90034,Los Angeles,-118.4018807,34.0218574,592.23,POINT (-118.4018807 34.0218574)
6037214902,2772,90048,Los Angeles,-118.3800927,34.0729596,788.7,POINT (-118.3800927 34.0729596)
6037215102,3025,90036,Los Angeles,-118.3456014,34.0649905,766.84,POINT (-118.3456014 34.0649905)
6037265202,3792,90024,Los Angeles,-118.4411825,34.0619002,438.52,POINT (-118.4411825 34.0619002)
6037277100,3115,90045,Los Angeles,-118.3783824,33.9652241,501.94,POINT (-118.3783824 33.9652241)
6037271100,2500,90064,Los Angeles,-118.4268131,34.0339126,438.52,POINT (-118.4268131 34.0339126)
6037189300,3130,90068,Los Angeles,-118.3093146,34.1112674,766.84,POINT (-118.3093146 34.1112674)
6037267901,2314,90067,Los Angeles,-118.4137159,34.056456,492.21,POINT (-118.4137159 34.056456)
6037265700,4866,90024,Los Angeles,-118.4236856,34.0632,438.52,POINT (-118.4236856 34.0632)
6037214100,3921,90036,Los Angeles,-118.3392739,34.0746639,766.84,POINT (-118.3392739 34.0746639)
6037272201,2736,90066,Los Angeles,-118.4341265,34.0003832,438.52,POINT (-118.4341265 34.0003832)
6037216300,4952,90036,Los Angeles,-118.3622105,34.0599709,787.46,POINT (-118.3622105 34.0599709)
6037181600,4666,90041,Los Angeles,-118.2097406,34.1297234,486.4,POINT (-118.2097406 34.1297234)
6037264301,5575,90049,Los Angeles,-118.4642912,34.0509979,438.52,POINT (-118.4642912 34.0509979)
6037267200,6365,90025,Los Angeles,-118.4372057,34.0456465,438.52,POINT (-118.4372057 34.0456465)
6037265602,2874,90024,Los Angeles,-118.434157,34.0602409,438.52,POINT (-118.434157 34.0602409)
6037217001,2922,90035,Los Angeles,-118.38703,34.0523836,717.29,POINT (-118.38703 34.0523836)
6037271701,5777,90034,Los Angeles,-118.4192255,34.027115,438.52,POINT (-118.4192255 34.027115)
6037269906,3102,90034,Los Angeles,-118.4031746,34.0249593,438.52,POINT (-118.4031746 34.0249593)
6037265410,1533,90049,Los Angeles,-118.4644168,34.066976,438.52,POINT (-118.4644168 34.066976)
6037271600,4694,90066,Los Angeles,-118.4304607,34.0210549,438.52,POINT (-118.4304607 34.0210549)
6037271702,3999,90034,Los Angeles,-118.4259054,34.0251282,438.52,POINT (-118.4259054 34.0251282)
6037265201,2623,90024,Los Angeles,-118.4364091,34.0668274,438.52,POINT (-118.4364091 34.0668274)
6037186201,3437,90041,Los Angeles,-118.2188456,34.1213123,486.4,POINT (-118.2188456 34.1213123)
6037192300,2475,90004,Los Angeles,-118.3284923,34.079743,766.84,POINT (-118.3284923 34.079743)
6037201302,4287,90042,Los Angeles,-118.1838819,34.097882,486.4,POINT (-118.1838819 34.097882)
6037276500,5570,90045,Los Angeles,-118.4180348,33.9665412,438.52,POINT (-118.4180348 33.9665412)
6037211000,5055,90020,Los Angeles,-118.3317418,34.0677859,766.84,POINT (-118.3317418 34.0677859)
6037271802,5720,90034,Los Angeles,-118.4124738,34.0198929,438.52,POINT (-118.4124738 34.0198929)
6037269904,4039,90034,Los Angeles,-118.411879,34.027809,438.52,POINT (-118.411879 34.027809)
6037267902,3568,90064,Los Angeles,-118.4201983,34.0475522,438.52,POINT (-118.4201983 34.0475522)
6037700901,3495,90035,Los Angeles,-118.3853968,34.064565,424.18,POINT (-118.3853968 34.064565)
6037700400,5529,90048,Los Angeles,-118.3811478,34.0812987,741.17,POINT (-118.3811478 34.0812987)
6037195100,5013,90039,Los Angeles,-118.2669741,34.1022274,766.84,POINT (-118.2669741 34.1022274)
6037275602,10539,90094,Los Angeles,-118.4172475,33.9769997,438.52,POINT (-118.4172475 33.9769997)
6037275311,5627,90066,Los Angeles,-118.4233089,33.9882746,438.52,POINT (-118.4233089 33.9882746)
6037264103,2708,90049,Los Angeles,-118.4662763,34.0549771,438.52,POINT (-118.4662763 34.0549771)
6037272100,4678,90066,Los Angeles,-118.4422881,34.0037101,438.52,POINT (-118.4422881 34.0037101)
6037186203,3303,90065,Los Angeles,-118.2153417,34.1150031,486.4,POINT (-118.2153417 34.1150031)
6037267100,7123,90025,Los Angeles,-118.4245499,34.0525736,438.52,POINT (-118.4245499 34.0525736)
6037271902,4030,90066,Los Angeles,-118.4316771,34.0096289,438.52,POINT (-118.4316771 34.0096289)
6037277000,5436,90045,Los Angeles,-118.4003336,33.9713675,438.52,POINT (-118.4003336 33.9713675)
6037275400,3942,90066,Los Angeles,-118.4391729,33.9906137,438.52,POINT (-118.4391729 33.9906137)
6037214600,2520,90048,Los Angeles,-118.3656444,34.0727874,766.84,POINT (-118.3656444 34.0727874)
6037276604,4417,90045,Los Angeles,-118.4248557,33.9571656,438.52,POINT (-118.4248557 33.9571656)
6037265520,4894,90024,Los Angeles,-118.4423998,34.0513698,438.52,POINT (-118.4423998 34.0513698)
6037271400,3753,90066,Los Angeles,-118.4473996,34.0100779,589.08,POINT (-118.4473996 34.0100779)
6037276000,5561,90045,Los Angeles,-118.3890198,33.9691783,438.52,POINT (-118.3890198 33.9691783)
6037264000,3137,90049,Los Angeles,-118.4815022,34.0545499,709.47,POINT (-118.4815022 34.0545499)
6037194101,3343,90046,Los Angeles,-118.3530199,34.1114184,720.29,POINT (-118.3530199 34.1114184)
6037276400,4075,90045,Los Angeles,-118.4095017,33.9668881,438.52,POINT (-118.4095017 33.9668881)
6037194401,2490,90046,Los Angeles,-118.3642238,34.0843098,766.84,POINT (-118.3642238 34.0843098)
6037269100,4067,90035,Los Angeles,-118.3948253,34.0530704,416.61,POINT (-118.3948253 34.0530704)
6037265601,3493,90024,Los Angeles,-118.4327259,34.0558599,438.52,POINT (-118.4327259 34.0558599)
6037143700,3916,90068,Los Angeles,-118.3567733,34.1291853,722.13,POINT (-118.3567733 34.1291853)
6037194102,3365,90046,Los Angeles,-118.3650891,34.116659,702.64,POINT (-118.3650891 34.116659)
6037269300,4075,90064,Los Angeles,-118.4122005,34.0444598,438.52,POINT (-118.4122005 34.0444598)
6037264102,2826,90049,Los Angeles,-118.4693771,34.0595085,438.52,POINT (-118.4693771 34.0595085)
6037194200,3489,90046,Los Angeles,-118.3749964,34.1035086,701.7,POINT (-118.3749964 34.1035086)
6037265100,2528,90024,Los Angeles,-118.4288483,34.0737147,489.49,POINT (-118.4288483 34.0737147)
6037264302,6078,90049,Los Angeles,-118.4768543,34.0472018,744.19,POINT (-118.4768543 34.0472018)
6037269000,5019,90064,Los Angeles,-118.404305,34.043325,489.98,POINT (-118.404305 34.043325)
6037269500,3929,90034,Los Angeles,-118.3938372,34.0434085,657.6,POINT (-118.3938372 34.0434085)
